"天正","ten sho",""
"慶長","kei cho",""
"元和","gen na",""
"寛永","kan ei",""
"正保","shou hou",""
"慶安","kei an",""
"承応","jou ou",""
"明暦","mei reki",""
"万治","man ji",""
"寛文","kan bun",""
"延宝","en pou",""
"天和","ten na",""
"貞享","jou kyou",""
"元禄","gen roku",""
"宝永","hou ei",""
"正徳","shou toku",""
"享保","kyou hou",""
"元文","gen bun",""
"寬保","kan pou", "kan po"
"延享","en kyou",""
"寛延","kan en",""
"宝暦","hou reki", "hou ryaku
"明和","mei wa",""
"安永","an ei",""
"天明","ten mei",""
"寛政","kan sei",""
"享和","kyou wa",""
"文化","bun ka",""
"文政","bun sei",""
"天保","ten pou",""
"弘化","kou ka",""
"嘉永","ka ei",""
"安政","an sei",""
"万延","man en",""
"文久","bun kyuu",""
"元治","gen ji",""
"慶応","kei ou",""
"明治","mei ji",""
"大正","tai shou",""
"昭和","shou wa",""
"令和","rei wa",""
